"","D20_250004","D20_250006","D20_250007","D20_250009","D20_250010","D20_250012","D20_250027","D20_250029","D20_250033","D20_250034","D20_250037","D20_250039","D20_250040","D20_250041","D20_250044","S023","S035","S087","S117","S157","S166","S169","S178"
"Col18a1",7823,6440,2147,464,1215,5723,11934,10332,2178,5237,17402,1657,12611,2301,1830,6054,3521,1453,3994,4221,9246,12059,8219
"Slc19a1",1478,253,597,122,165,0,269,320,184,173,413,95,388,206,515,160,314,61,486,30,458,423,198
"Kpnb1",2293,205,797,87,174,848,176,631,383,18,779,996,679,150,529,569,480,114,630,290,1365,478,219
"Npepps",55,664,1001,163,330,236,242,1728,410,359,552,22,769,522,1138,596,346,119,693,418,677,1330,353
"Tbx21",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl10",1353,355,518,94,483,648,1085,621,377,19,15,486,710,666,843,662,248,94,771,151,981,1312,623
"Cyp51",342,306,404,79,409,187,773,2172,255,15,186,44,446,168,1437,310,267,56,536,219,824,1080,352
"Tcf25",1193,3171,7357,594,66,1264,4891,6966,5266,1458,828,1581,4454,1836,4359,3063,1219,559,2831,901,6736,11975,3953
"Tubb6",4491,2869,4774,776,0,493,995,519,585,26,1080,2866,4763,2285,4098,5528,91,544,3423,346,1635,306,887
"Def8",603,92,235,53,112,72,72,1395,332,81,659,35,475,216,214,346,119,31,366,75,583,1002,152
"Meox1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sost",0,0,6,0,0,0,0,0,0,0,14,0,6,0,2,0,0,4,0,0,0,0,0
"Nkx2-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pax9",0,0,0,0,0,0,0,12,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0
"Irx2",0,0,0,0,0,0,0,0,32,10,0,0,0,0,0,0,0,0,0,8,0,0,0
"Col1a1",159,542,0,16,0,40,8,0,0,0,199,17,369,117,166,0,0,0,4,54,0,18,0
"Itga3",467,201,281,79,205,505,573,1235,410,4,321,34,153,88,197,402,58,126,78,334,355,30,306
"Sgca",33,6,5,0,0,49,0,0,11,0,9,17,6,5,3,0,0,1,0,1,14,0,32
"Dlx3",2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Foxm1",329,199,409,95,1,390,208,19,367,362,313,245,526,277,500,483,23,72,238,490,355,299,121
"Itfg2",902,229,532,63,110,170,171,929,1,135,125,66,205,374,492,337,144,103,210,97,409,476,107
"Nrip2",94,30,158,119,70,206,187,1487,22,17,85,46,189,181,144,86,112,33,137,30,267,785,222
"Tulp3",702,192,219,13,5,77,215,531,490,136,48,322,148,54,231,55,239,75,33,351,279,104,175
"Gtf2h4",817,10,77,57,50,484,167,156,93,376,192,15,424,168,251,0,192,25,215,22,609,642,300
"Tubb5",12573,3007,16746,23178,6420,9472,7690,4408,1312,3886,22588,1717,23077,21962,14533,23106,8484,3830,22353,2072,16575,13924,3428
"Ell2",812,10,107,10,12,94,38,587,104,87,81,40,19,33,122,67,52,19,70,43,95,690,0
"Jup",1976,648,546,132,1307,4882,4402,11658,5688,1099,651,3935,849,362,227,1343,638,508,227,1366,4851,7944,6178
"Fkbp10",949,1584,1400,1273,1347,40,888,2960,202,178,725,143,1455,1541,4197,1448,1111,526,1757,357,1238,1357,436
"Klhl10",9,15,22,5,0,79,0,1,0,0,20,21,9,10,35,0,25,0,14,0,88,0,63
"Mnx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nom1",394,102,943,99,153,46,247,1671,42,1005,109,164,1586,561,1139,629,211,123,513,57,684,1181,375
"Ergic1",6187,624,556,241,615,466,2062,3407,125,1651,18,1319,668,507,1950,1259,470,276,1167,611,1589,3051,897
"Tnk1",31,52,25,19,1,12,9,6,1,17,14,13,41,46,13,54,5,1,55,1,14,26,11
"Acap1",0,0,2,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0
"Tcea3",1037,235,219,14,5,147,187,80,58,72,23,276,219,79,292,301,44,35,252,17,109,496,128
"Csn3",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Ifrd1",678,879,1497,316,271,1526,525,2973,7277,1857,388,606,1088,284,7197,996,856,260,792,1475,2676,7961,1831
"Stk38l",248,96,305,27,12,3,15,103,94,179,167,32,147,136,162,173,50,23,143,29,195,229,27
"Brpf1",90,209,559,40,223,756,131,237,42,31,303,152,427,265,474,217,286,121,128,150,301,645,200
"Akr1b1",901,331,908,65,41,423,667,791,302,121,5,356,435,370,1302,555,138,40,632,73,1385,1169,266
"Hoxc13",0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,9,0,0,0,0
"Hoxc11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoxc8",95,16,16,3,11,43,0,40,2,104,1,11,49,16,11,36,3,17,0,6,72,46,11
"Hoxc6",11,7,9,0,6,19,7,74,2,13,2,37,18,2,24,0,18,4,4,6,17,56,18
"Gstt1",80,46,50,68,156,32,25,39,25,0,17,23,62,58,99,162,12,0,212,0,28,155,0
"Gstt3",60,34,92,17,74,31,121,73,10,0,2,14,38,56,54,0,0,2,18,1,26,23,5
"Ddt",18,94,107,7,59,116,147,215,102,478,2,82,111,99,116,78,41,3,132,1,245,950,167
"Tat",0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,26,0,0,0,0,0,0,0
"Marveld3",9,0,3,0,0,3,0,128,26,0,3,5,4,0,8,0,0,8,0,0,20,0,0
"Ddx18",632,111,142,10,13,21,84,1328,102,298,67,234,135,49,125,146,72,18,169,57,747,468,17
"Ubl3",2805,288,245,48,21,118,558,176,239,188,89,216,274,25,462,58,213,54,436,72,403,409,451
"Gramd2b",365,99,268,22,119,39,273,325,1,177,29,73,148,136,549,224,52,67,76,52,125,540,68
"Eef1e1",578,339,599,22,104,61,255,416,177,811,3,258,561,299,720,319,168,18,584,65,662,1066,188
"Akt1",1609,94,155,71,79,1114,205,169,114,55,100,360,233,108,247,409,62,92,188,98,684,1058,113
"Cldn15",0,0,8,0,0,0,0,0,4,0,3,14,0,6,8,0,0,0,0,0,20,0,0
"Il16",3,0,1,3,0,41,0,0,13,0,4,3,6,0,1,65,3,0,0,0,0,0,0
"Tcirg1",404,148,473,181,150,19,171,105,37,890,717,84,422,245,421,467,171,125,228,94,316,516,224
"Naglu",6022,450,662,194,1763,142,969,2420,520,369,110,143,261,770,3134,1502,363,297,1294,337,786,1798,951
"Coasy",436,764,836,86,237,425,663,1965,606,11,306,92,672,621,1205,420,425,136,583,63,923,1860,714
"Smo",1029,531,748,238,987,114,218,0,74,430,117,312,1071,576,922,645,378,145,957,462,189,246,136
"Tspan33",0,8,17,1,5,5,87,171,92,103,10,58,50,31,38,26,4,12,0,0,95,153,182
"Crnkl1",2514,434,1505,36,32,1096,736,1400,658,60,183,399,1500,694,1464,922,285,79,1088,110,2147,2275,425
"Rin2",311,125,235,86,168,412,800,2477,237,294,677,6,120,212,277,305,110,76,149,97,1464,1143,811
"Folh1",55,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"Chordc1",503,170,707,61,294,164,691,363,69,263,11,22,539,483,971,378,161,35,643,72,947,601,122
"Rtcb",2890,2328,2069,129,125,1188,468,5089,770,501,130,191,2167,2123,3087,1328,769,112,2462,243,3319,4111,539
"Pwp1",612,574,1140,83,131,1650,507,2362,53,456,53,94,1312,786,1502,221,487,135,694,187,1361,2565,552
"Fbxo7",1164,241,402,81,86,215,1035,2211,5,220,48,106,496,228,767,266,187,85,356,75,825,1362,423
"Capns1",451,217,346,61,161,600,187,518,120,865,5,844,187,190,314,296,176,44,343,53,811,1827,226
"Lrp3",152,42,75,26,131,0,57,9,9,74,36,48,9,60,40,0,65,30,28,2,13,139,37
"Dsg4",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Evx2",0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1
"Hoxd13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoxd12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Folr1",242,24,104,47,78,0,100,394,19,181,20,28,44,50,148,0,0,0,87,0,293,225,14
"Clpb",893,320,2098,51,402,1043,1757,1794,424,8008,132,937,2770,1461,929,875,667,276,813,241,3303,7182,2215
"Septin7",888,846,1835,122,1441,773,1376,1800,986,2564,31,147,1399,1665,3993,1460,493,229,1599,238,2934,3713,1923
"Zdhhc4",1672,280,276,51,102,167,207,1625,521,537,3,292,241,360,732,339,179,57,436,113,812,1300,636
"Rac1",14339,323,684,59,181,430,379,541,351,581,118,1114,744,442,660,991,480,41,2332,247,415,369,974
"Nup214",19146,531,1363,178,474,5625,2800,3144,2926,1091,4760,3162,2387,1038,1368,2900,1345,611,1904,1469,11744,296,2831
"Aif1l",587,335,1111,345,751,83,145,45,71,0,322,191,662,486,937,366,419,40,1213,102,349,1,42
"Cpa3",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"Ltbp1",828,135,254,122,81,194,183,9,26,3,26,76,124,125,209,206,95,32,288,222,142,0,1
"Ugp2",848,127,446,115,729,43,37,1595,215,316,63,53,290,443,1056,621,134,100,552,72,247,1316,186
"Kcnh6",0,0,0,0,0,0,124,0,8,0,0,8,0,2,0,3,0,0,0,0,3,0,0
"Trmt1",1324,1403,1628,94,27,391,1912,453,989,2351,662,888,1499,413,779,890,570,213,904,146,1851,3509,1722
"Nacc1",943,39,106,59,419,198,523,654,153,84,184,521,140,24,117,251,201,116,90,434,267,56,204
"Nfix",126,44,60,5,27,38,102,177,22,0,11,73,21,45,52,64,14,24,8,7,83,5,123
"Slc1a5",5,71,60,9,70,0,88,201,0,18,60,24,123,58,140,0,0,69,229,259,50,9,108
"Uba1",1285,3048,10643,2445,1023,8238,4448,14321,2689,4531,8193,149,9152,4574,6559,5887,2722,1520,4377,2338,16161,11078,6213
"Vwf",10,7,0,2,0,2,2,477,1,414,4,14,6,3,10,5,9,0,0,0,4,0,1
"Siae",910,59,528,252,444,645,38,1214,235,133,27,156,194,618,802,585,151,75,584,61,575,1322,320
"Vsig2",29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Esam",2,3,8,7,0,28,0,0,0,0,0,4,3,3,2,0,0,8,11,0,0,0,14
"Spa17",49,6,2,3,35,38,11,95,98,88,3,5,36,22,13,38,0,9,12,0,184,224,20
"Fam50a",1039,675,1136,45,45,653,651,3445,1371,3872,22,946,1011,508,1902,537,468,142,568,106,2340,7123,1843
"Emd",38,405,491,70,385,177,694,171,217,335,25,163,793,531,1045,431,216,60,585,82,659,1129,280
"Taco1",125,67,131,23,71,0,63,11,23,116,14,42,104,62,72,0,0,10,67,39,62,0,50
"Grik3",600,49,315,59,162,351,837,134,153,1,135,275,132,72,465,262,124,92,58,556,237,0,99
"Gria3",46,15,4,2,11,25,70,168,0,208,4,3,28,0,21,36,0,0,0,2,12,0,0
"Npas1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,64,0
"Sipa1l2",461,132,103,7,0,173,186,276,98,855,291,239,119,82,185,205,3,11,169,139,571,176,287
"Ap4e1",152,10,93,18,48,37,8,248,148,129,202,27,231,98,80,87,81,15,105,91,360,0,26
"Blvra",3608,277,182,7,289,219,422,326,152,620,25,312,460,288,711,685,98,89,582,39,626,1358,282
"Pdzd4",46,1,6,0,25,31,11,27,34,0,5,13,11,7,15,29,0,1,13,0,77,99,0
"Srpk3",184,1,36,7,0,0,0,7,20,1,46,72,30,31,44,14,41,2,40,5,15,66,0
"Idh3g",521,508,1684,607,705,585,415,4856,123,3051,271,134,2580,2565,1204,779,873,48,2436,108,3986,2957,503
"Pnck",130,71,86,32,88,6,0,368,47,246,11,41,53,46,98,131,10,5,152,0,78,373,147
"Ssr4",755,383,1055,251,1179,337,1232,2139,574,518,5,581,1458,1220,1824,865,515,72,1695,42,934,3810,897
"Bcap31",4170,493,294,38,254,421,1604,1101,1069,1253,15,809,690,494,1172,744,301,187,574,128,3270,3403,636
"Fam98a",215,313,875,22,251,264,19,2197,631,537,299,382,1001,307,762,522,265,89,515,301,1872,582,137
"Ltbp2",229,44,194,6,0,128,34,463,200,94,59,88,105,76,179,140,0,5,133,1,888,0,55
"Kmt2a",185,177,168,74,24,76,599,2547,98,396,235,705,294,64,117,133,284,82,55,287,1458,192,168
"Ift46",1752,464,771,140,60,944,1057,2115,881,177,11,417,1647,683,1496,915,224,206,611,127,2352,2371,1023
"Tmem25",1,38,112,66,58,0,0,0,0,224,42,31,80,35,64,0,0,31,51,15,46,48,10
"Cd3g",6,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Trappc6a",290,312,113,35,458,115,352,295,73,289,3,111,146,199,407,512,0,30,454,12,153,830,295
"Supt6",5056,356,1191,66,483,219,897,2569,1199,2534,3387,281,1496,494,928,1164,874,364,717,919,3911,1072,1062
"Spag5",500,77,236,32,16,121,46,505,42,1,311,95,365,170,300,21,281,22,165,34,542,11,11
"Foxn1",0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unc119",1407,77,123,42,26,0,138,142,21,0,43,57,93,66,228,0,103,39,107,14,48,264,44
"Rab34",844,582,419,127,907,226,163,98,347,315,8,238,1265,765,1006,678,295,158,931,45,541,719,335
"Sdf2",1054,111,328,185,585,218,288,1615,481,79,6,243,471,656,700,451,234,8,979,53,1454,1022,243
"Ccne1",662,234,489,25,24,110,135,487,99,24,6,226,733,162,694,257,156,32,438,125,326,163,137
"Hsf2bp",1008,125,270,5,1,471,480,626,413,408,117,220,226,85,314,338,0,5,362,45,1172,1335,378
"Bbc3",57,2,1,2,1,28,28,43,0,0,5,2,6,2,16,0,0,6,14,20,81,95,20
"Mybpc3",123,30,210,76,83,38,0,0,0,0,45,47,67,56,296,33,65,3,141,1,0,126,0
"Psmc3",8453,300,1091,485,452,4265,328,7354,89,896,977,722,2976,1432,2085,2062,794,45,3293,172,4375,4729,964
"Acp2",214,129,554,149,553,324,495,2058,12,866,357,130,94,361,288,378,226,49,509,186,1727,775,74
"Rapsn",84,18,31,22,1,0,50,154,24,0,20,42,34,45,37,30,17,0,59,5,47,117,44
"Slc39a13",246,202,593,70,32,223,13,105,231,808,56,106,99,165,374,116,166,82,106,71,291,944,208
"Celf2",1042,518,148,4,132,69,210,1436,339,1355,235,209,380,320,288,232,280,51,388,240,1118,1115,339
"Nr1h3",0,0,13,1,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0
"Ddb2",194,86,439,30,21,1230,1177,984,21,569,21,185,356,225,233,185,102,20,252,39,2439,1447,184
"Spi1",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,0,0,0,7,0,0,0
"Sf3a1",9189,401,1004,78,305,544,2489,5130,1907,1851,2236,657,5645,965,979,1811,966,624,941,1509,4169,3492,1654
"Stat6",303,138,454,72,271,2943,180,757,291,82,209,67,501,357,505,437,128,100,273,180,2129,869,477
"Clgn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Napsa",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"Vrk3",799,391,555,3,58,304,1489,1778,646,306,165,487,795,376,218,348,257,25,579,62,1909,3053,532
"Smg9",826,94,53,52,179,67,138,497,483,43,47,354,175,92,156,99,185,53,194,78,286,726,253
"Paxip1",7758,393,524,156,96,530,149,353,265,311,230,1368,1176,243,166,511,647,190,1035,748,449,462,246
"Rmnd5a",374,13,122,34,202,105,206,73,20,138,165,146,60,20,47,90,108,32,119,114,325,60,0
"Mov10",4979,537,3233,501,856,26,1267,611,59,795,1808,160,2171,2340,1556,1837,1084,294,2574,341,945,1340,306
"Ppm1j",0,0,0,0,0,0,0,0,0,110,0,9,0,0,9,0,0,0,0,0,45,0,0
"Rhoc",117,205,141,62,179,149,131,52,117,56,3,164,159,97,672,353,0,10,364,13,179,493,99
"Prr27",0,1,2,0,0,7,2,8,0,17,0,1,0,3,1,7,0,0,0,0,7,1,2
"Tead3",42,6,23,5,0,21,17,134,4,48,7,94,36,14,52,30,3,9,6,23,55,118,8
"Ppard",62,4,43,6,0,37,52,267,40,19,7,74,21,12,32,10,31,12,1,19,111,8,105
"Def6",18,0,21,16,26,0,59,271,17,0,26,37,12,43,17,0,0,1,39,0,40,0,96
"Peg3",12917,1271,1562,626,1661,1719,10166,11117,714,7327,10444,1976,5101,1173,767,3653,2600,1446,1187,4254,14946,1525,1530
"Zim1",13,20,28,3,0,89,24,66,2,96,6,31,13,13,19,8,20,7,2,19,144,0,1
"Metrn",44,53,79,13,112,21,1,63,19,0,4,93,66,54,173,0,96,5,103,31,13,39,32
"Lmf1",1174,88,636,52,146,469,625,3782,26,61,70,238,274,272,704,266,242,58,400,116,799,2089,267
"Ciao3",66,211,572,123,39,270,41,2588,154,930,378,88,457,342,250,154,293,22,420,106,891,1724,395
"Angptl4",1356,287,1092,465,1517,443,13,31,166,84,362,346,1134,1321,1632,1915,187,148,1807,136,602,259,96
"Dbf4",1300,293,803,17,105,762,36,74,245,431,91,446,859,381,994,203,445,64,568,160,352,1286,279
"Daxx",2338,262,637,62,79,367,154,843,318,40,1147,87,906,375,384,457,427,38,871,112,509,1264,226
"Cd320",1283,832,1418,422,1817,119,774,755,316,246,7,680,1231,1406,2376,2247,247,181,2265,46,525,1440,575
"Ipo4",220,463,626,16,298,903,108,561,142,1485,344,39,700,278,666,377,231,61,562,80,999,1861,524
"Tm9sf1",1739,453,688,135,701,5,798,1064,269,347,45,300,615,561,1602,698,360,142,949,93,937,712,442
"Rec8",1,13,40,14,0,0,0,0,18,0,19,19,14,16,30,35,0,5,14,0,32,0,24
"Irf9",154,44,107,76,116,0,31,522,0,66,128,62,112,83,207,68,82,1,208,5,76,435,49
"Gmpr2",135,69,471,103,432,36,693,702,32,848,62,89,443,300,786,355,158,23,567,83,556,975,366
"Mdp1",53,328,725,198,487,59,238,207,11,293,26,105,383,376,597,77,269,24,810,19,213,717,0
"Dhrs1",540,167,503,49,22,4,252,742,237,552,34,166,541,290,435,322,107,25,416,37,1233,331,85
"Ncan",36,0,1,0,0,0,0,0,0,0,0,18,8,2,1,0,0,0,0,0,0,1,0
"Tmem161a",54,684,500,226,900,274,930,1026,35,963,658,362,346,288,541,1072,92,191,558,298,818,1169,564
"Armc6",7,133,319,22,151,524,166,539,52,307,183,83,613,304,370,359,38,37,281,106,602,610,265
"Borcs8",95,110,226,72,130,102,405,1384,17,684,6,196,127,224,167,141,109,14,269,26,488,1516,220
"Slc25a42",7848,749,839,175,427,113,1970,2633,231,34,1122,1370,1245,620,1147,1088,1050,481,673,1399,1085,494,633
"Snx9",3061,355,288,26,21,187,22,441,114,44,111,266,314,217,441,413,180,41,579,307,218,242,57
"Ranbp3",5490,803,1871,31,102,2558,1256,3250,687,263,1679,1485,1948,513,898,1433,674,366,869,218,2964,3664,1812
"Ndufa11",1447,949,979,92,320,396,555,1743,680,1094,4,912,1659,979,1853,1229,297,10,1879,27,1475,2806,1029
"Bmp8b",909,39,53,3,25,26,73,171,48,39,8,70,116,81,216,93,55,9,155,7,134,282,31
"Nr2f6",1520,104,109,67,122,95,346,470,112,0,71,309,195,137,231,0,315,37,248,232,65,475,131
"Use1",218,355,602,149,1525,348,1583,1370,314,340,53,857,387,354,1057,885,257,33,1269,37,1082,3067,616
"Ocel1",1832,255,109,34,198,218,333,1994,187,35,82,768,241,151,331,432,157,108,245,202,208,1280,357
"Dyrk1b",1754,86,50,31,815,426,371,1210,466,1378,210,268,219,191,86,516,126,160,206,373,642,540,521
"Braf",883,105,578,76,39,310,148,347,313,543,646,11,294,85,249,156,271,133,61,322,310,991,82
"Ndufb2",222,230,152,36,261,59,369,792,78,218,3,273,281,222,680,377,59,8,469,20,195,854,338
"Hltf",207,60,147,17,34,91,102,1,81,245,144,24,120,78,116,106,51,17,100,69,169,1,150
"Prpf6",2815,145,1102,113,81,269,844,1622,1076,140,1476,264,1346,489,448,613,597,142,746,298,2364,1485,444
"Rgs19",1186,539,1008,211,568,44,40,217,0,0,36,100,835,454,852,744,131,54,1128,8,96,108,54
"Rgs20",0,0,0,2,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,1,3,0,0
"Abhd3",6,74,120,21,111,0,59,139,5,51,8,21,67,37,41,63,17,9,103,1,90,0,71
"Snrpd1",568,598,706,126,571,197,567,744,272,448,2,632,1015,581,1577,783,297,9,1427,53,929,1582,334
"Tchp",104,156,231,63,4,65,363,1227,353,186,95,423,288,143,128,237,51,20,218,27,434,1627,310
"Tiam1",1456,113,184,25,6,85,641,2196,597,285,899,499,416,173,318,399,98,130,44,326,1623,158,596
"Tsc2",1114,533,1340,197,639,485,6513,5109,1622,1847,2388,2294,1352,173,280,1172,829,209,1137,1092,5193,4675,2587
"Rpl3l",1,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nherf2",2285,167,77,53,855,500,344,1248,480,868,19,402,507,520,193,713,137,150,491,346,308,1422,551
"Puf60",9572,6518,3434,742,553,6421,3893,4075,3101,3429,38,3791,6238,4535,7010,5350,1625,1048,4682,1429,7143,12250,5376
"Golga2",1042,535,808,40,488,1400,457,1429,637,1355,2588,273,712,240,229,968,274,143,706,488,1815,2167,1269
"Uck1",227,413,1162,131,330,91,902,1359,7,297,240,221,1292,439,550,745,240,117,826,173,458,1083,311
"Scin",1,0,2,3,0,0,0,0,0,0,0,4,14,0,7,0,0,0,0,0,11,0,0
"Ikzf4",0,28,21,4,9,97,0,0,21,0,0,20,23,15,45,0,32,5,3,11,83,0,47
"Mien1",515,248,243,13,271,97,538,995,206,228,3,237,418,244,703,349,114,17,510,40,446,1544,286
"Pon1",20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Axl",1653,2722,516,1465,2074,1149,6427,1148,206,4320,1388,532,1510,1806,1258,2444,1056,721,1973,1577,4052,2903,1555
"Tgfb1",0,2,4,0,0,0,0,0,0,0,4,0,8,2,0,0,0,0,0,13,1,0,0
"Ccdc97",3454,151,209,39,610,638,579,2677,110,1238,916,807,382,182,210,595,409,188,372,383,1678,1456,769
"Zfp40",39,12,50,17,11,18,66,143,3,125,12,1,4,11,69,0,23,1,25,1,120,83,0
"Akap8l",100,663,1611,271,223,440,660,4282,68,510,1342,339,916,463,576,604,652,226,547,308,1005,2163,828
"Shh",0,0,19,4,0,2,1,0,0,0,3,6,0,5,10,0,0,56,0,0,0,0,0
"Pdcd2l",3991,329,811,44,133,494,1262,1379,1083,1092,9,1019,685,474,1511,1059,125,116,841,132,2512,2158,1444
"Gtf2f1",5952,34,405,106,279,969,1545,7170,532,1142,101,871,1448,964,1002,968,349,67,1227,182,3548,5280,1456
"Clpp",2415,910,683,56,993,374,583,1047,154,814,6,504,680,1055,1551,896,413,64,1635,22,854,2220,519
"Alkbh7",1083,380,718,56,353,77,523,1764,239,1473,4,633,361,465,773,567,212,68,680,23,734,2279,822
"Pspn",0,0,9,0,0,52,0,0,0,29,0,5,1,0,0,0,0,0,0,0,0,0,0
"Dennd1c",30,5,13,1,1,30,1,0,14,108,4,24,19,5,14,17,1,0,11,0,8,87,69
"Med6",1347,48,133,8,93,158,376,526,256,222,3,112,152,165,337,199,66,9,282,0,805,1069,187
"Prkd1",395,16,84,13,0,226,54,333,78,64,24,89,78,17,40,0,1,9,72,34,79,354,144
"Lcp2",0,0,0,0,0,36,0,5,0,0,0,1,4,2,0,64,0,0,0,0,0,0,0
"Cse1l",923,364,1524,135,1505,619,72,2849,245,1467,739,42,1408,1068,1815,1472,382,257,1202,782,1567,1507,207
"Naa20",928,473,797,37,43,93,482,554,245,290,4,276,495,290,924,280,236,37,624,69,332,1088,423
"Prkra",309,296,694,130,358,33,299,722,94,4,32,151,424,334,618,372,175,35,706,38,224,659,133
"Fkbp7",63,22,45,6,56,45,41,175,4,192,1,14,74,38,144,59,15,5,64,0,210,177,37
"Plekha3",128,17,146,15,2,47,29,54,25,2,5,48,49,23,90,53,21,23,14,1,53,1,60
"Ykt6",159,159,366,63,308,5,161,359,261,279,20,327,236,154,372,127,227,93,161,204,241,571,81
"Baz1b",710,876,1714,187,36,138,1145,1583,315,342,1679,809,3288,533,639,886,907,253,982,862,1081,1044,547
"Pex6",1723,44,48,27,28,149,76,231,76,264,29,215,59,45,64,1,0,46,134,111,89,401,80
"Mrpl2",1476,852,871,78,503,343,523,1218,804,665,4,281,1479,927,2053,1018,312,169,1111,167,993,2110,957
"Mea1",5888,825,1421,97,79,1542,3350,6476,1514,2815,18,1701,1470,768,1746,1237,521,153,1543,202,4685,11646,2214
"Gnmt",0,4,4,3,0,56,81,22,6,121,1,40,19,9,19,9,0,5,1,9,125,0,59
"Grin2d",0,3,4,0,0,0,6,0,0,0,25,0,0,0,0,0,32,0,1,20,0,0,0
"Kdelr1",43,908,1413,299,1124,581,1270,2219,423,2323,39,666,1339,844,2023,1404,329,298,972,434,1462,3714,1118
"Tmem143",78,13,37,3,34,9,58,25,118,6,47,64,97,24,59,63,13,11,38,7,68,202,65
"Ggct",2075,827,1901,151,4,2811,2399,4738,2341,1472,84,1708,1306,714,1806,1097,427,68,1446,114,8630,5188,2617
"Jag2",2372,702,993,82,0,3084,1843,5744,954,2366,1229,1795,1213,629,1099,1273,189,285,394,1688,1694,1086,2286
"Btbd6",511,215,458,72,361,307,270,884,78,0,21,187,365,238,458,105,257,42,408,217,166,573,168
"Nudt14",556,681,336,32,103,141,677,1144,72,988,10,451,731,431,758,471,194,14,778,20,493,1876,589
"Epdr1",998,209,338,265,856,136,52,1083,124,4,131,73,507,435,914,543,227,128,682,78,383,422,199
"Flii",156,1489,1766,73,555,842,1402,1678,785,2797,2421,240,1921,822,910,1068,834,225,1173,352,2535,3913,1886
"Top3a",1031,79,337,44,181,206,214,1856,37,472,710,219,570,107,65,338,217,52,426,188,1124,565,144
"Atg4d",154,687,437,142,115,102,1169,1106,18,953,234,94,615,248,844,444,227,122,397,131,692,1283,560
"Qtrt1",791,80,314,47,119,117,120,87,39,443,2,49,253,284,342,76,134,13,399,30,199,795,12
"Plin4",62,0,1,6,0,0,82,13,14,13,18,3,1,5,16,19,1,6,1,0,123,18,13
"Hdgfl2",2438,1393,730,151,92,570,2207,7143,955,117,327,1721,2318,679,1251,1499,439,262,1113,151,2087,5619,1485
"Chaf1a",15757,2426,1904,106,341,3778,4369,6617,2115,509,662,4437,3924,968,2118,2658,1547,684,2471,1909,4747,6288,3075
"Adprh",4765,1850,1217,23,937,658,5242,2853,654,1358,139,1574,1707,519,3899,1993,558,351,1625,728,3163,4094,2082
"Tmem39a",356,289,1356,227,155,181,617,1342,69,31,23,357,680,643,1320,634,273,75,806,185,870,655,176
"Timmdc1",153,294,291,16,389,245,526,349,293,472,7,296,571,285,879,531,55,53,442,31,526,1419,519
"Pla1a",1489,40,104,23,0,634,192,271,147,121,105,122,124,94,189,192,53,42,137,28,1465,80,25
"Mcm2",20860,1348,4636,172,103,3411,1660,3056,413,901,2405,536,3140,1982,4753,3365,1314,465,3617,1835,3208,3089,1547
"Tpra1",5333,517,1777,41,24,2096,1720,5319,1430,1619,214,1716,1461,599,641,1259,366,232,939,413,3569,5797,2522
